City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Roros,NO,62.5747,11.3842,46.24,93,75,3.44,light rain
1,Avera,US,33.194,-82.5271,86.05,64,94,7.67,overcast clouds
2,Bluff,NZ,-46.6,168.3333,47.8,73,99,21.81,overcast clouds
3,General Pico,AR,-35.6566,-63.7568,44.08,70,36,6.08,scattered clouds
4,San Juan Ixcoy,GT,15.5997,-91.4453,59.85,94,100,5.01,overcast clouds
5,Narsaq,GL,60.9167,-46.05,41.22,68,2,1.03,clear sky
6,Punta Arenas,CL,-53.15,-70.9167,42.91,56,75,9.22,broken clouds
7,Villa Carlos Paz,AR,-31.4241,-64.4978,47.39,44,100,3.02,overcast clouds
8,Arraial Do Cabo,BR,-22.9661,-42.0278,62.46,88,40,5.75,scattered clouds
9,Champerico,GT,14.3,-91.9167,78.96,83,98,8.05,overcast clouds
10,Jamsa,FI,61.8642,25.19,52.52,83,49,11.36,scattered clouds
11,Kahului,US,20.8947,-156.47,82.42,74,0,20.71,clear sky
12,Pallasovka,RU,50.05,46.8833,71.38,47,97,4.76,overcast clouds
13,Bathsheba,BB,13.2167,-59.5167,83.01,83,40,19.57,scattered clouds
14,Bethel,US,41.3712,-73.414,67.35,85,40,3.44,scattered clouds
15,Bambous Virieux,MU,-20.3428,57.7575,73.22,78,20,11.5,light rain
16,Puerto Ayora,EC,-0.7393,-90.3518,71.55,92,13,4.0,few clouds
17,Dingle,PH,10.9995,122.6711,87.89,65,75,6.87,broken clouds
18,New Norfolk,AU,-42.7826,147.0587,53.1,71,60,0.89,broken clouds
19,Saint-Philippe,RE,-21.3585,55.7679,69.39,81,72,17.09,light rain
20,Barinas,VE,8.6226,-70.2075,66.24,100,98,1.14,overcast clouds
21,Kapaa,US,22.0752,-159.319,82.38,84,75,17.27,broken clouds
22,Homer,US,59.6425,-151.5483,61.77,63,0,16.11,clear sky
